Customer,TotalRate,Pickup,Dropoff,PickupDate
0,0,NULL,NULL,NULL
6269,1300,  Epes Transport Warehouse,  TA Services,2023-09-21
6270,1800,GREENDALE IN,CHESTER VA,2023-09-21
6271,850,VIRGINIA BEACH VA,BROWN SUMMIT NC,2023-09-21
6272,800,"  920 BLACK SATCHEL RD, CHARLOTTE NC 28216","  2000 Monticello Ave, NORFOLK VA 23517",2023-09-21
6271,750,virginia beach va,brown summit nc,2023-09-21
6268,1350,"  Petersburg, VA","  Terre Haute, IN",2023-09-21
6276,3000,"  EXEL LOGISTICS, 2100 INNOVATION BLVD, MOORESVILLE, IN - 46158 USA","  VERSATILE PACKAGERS, 933 CHAD LN, TAMPA, FL - 33619- 4331 USA",2023-09-21
6273,950,  TAMPA FL 33637,LYNDHURST VA 22952,2023-09-21
6268,1350,"Petersburg, VA","  Terre Haute, IN",2023-09-21
6274,2000,CRAWFORDSVILL IN 47933,SUFFOLK VA 23434,2023-09-21
6271,850,"  WORLD DISTRIBUTION SERVICES 1537 AIR RAIL AVE VIRGINIA BCH, VA 23455-3017","  LT APPAREL GROUP 5979 Summit Ave BROWN SUMMIT, NC 27214",2023-09-21
6275,1150,"  WORLD DISTRIBUTION SERVICES 1537 AIR RAIL AVE VIRGINIA BCH, VA 23455-3017","  LT APPAREL GROUP 5979 Summit Ave BROWN SUMMIT, NC 27214",2023-09-21
6275,1150,Detention,,2023-09-21
6277,2060,"  AVONDALE, AZ 85323","    HOUSTON, TX 77048",2023-09-13
6278,1975,"Houston, TX","Tolleson, AZ",2023-09-18
6270,2000,"  AIPC-DRP--STATES LOGISTICS (SL) 6868469 N/A 09/05/2023 (0845)
420 § 10 4 TH AVE
TOLLESON, AZ 85353","  BROOKSHIRE BROTHERS 4501959711 N/A 09/06/2023 MARTIN LUTHER KING JR. BLVD LUFKIN, TX",2023-09-25
6279,1649,WILMER TX,TOLLESON AZ,2023-09-05
6280,500,"CHESTER, VA","DISPUTANTA, VA",2023-09-25
6280,750," Chester, VA","Arlington, VA",2023-09-25
6280,750,"Chester, VA","Manassas, VA",2023-09-25
6281,1000,"  PENN PAK 1101 AIRPORT INDUSTRIAL BLVD MADISON, GA 30650","    DC 6023 21500 COX RD SUTHERLAND, VA 23885",2023-09-25
6282,1500,"  Virginia Beach, VA 23455","  Lawrenceville, GA 30046",2023-09-25
6283,950,"  180 BROOKS BLVD, SPARTANBURG, SC 29307","  2333 WELLS ROAD, PETERSBURG, VA 23805",2023-09-25
6284,680,ASHLAND VA,CHARLOTTE NC,2023-09-25
6285,2000,"  LA PORTE, TX 77571","  WINSTON SALEM, NC 271074574",2023-09-25
6286,750,"  701 LAWTON RD, CHARLOTTE, NC 28216","  4400 VAWTER AVE, RICHMOND, VA 23222",2023-09-25
6287,2400,"  Avoca Inc, 841 Avoca Farm, Merry Hill, NC 27957","  GMI Mann, 8000 Market Street Suite 130, Houston, TX 77029",2023-09-25
6268,1350,"PETERSBURG, VA","TERRE HAUTE, IN",2023-09-25
6288,627,RICHMOND VA,GREENSBORO NC,2023-10-02
6292,900,"  150 S Bivens Road, Monroe, NC 28112","  4701 Chudoba Parkway, Prince George, VA 23875",2023-10-02
6293,800,"  OTTO ENVIRONMENTAL SYSTEMS, 12700 GENERAL DRIVE, CHARLOTTE NC 28273","  American Hauling Service, 15240 Cleve Dr., KING GEORGE VA 22485",2023-10-02
6280,800,"Chester, VA","Gaithersburg, MD",2023-10-02
6280,800,Chester VA,Alexandria VA,2023-10-02
6280,800,Chester VA,Gainesville VA,2023-10-02
6294,750,Williamsburg VA,Concord NC,2023-10-02
6295,2000,"  Prime Distribution Services (PLFN), Plainfield, IN 46168","  SAMS DISTRIBUTION CENTER, Prince George, VA 23875",2023-10-02
6280,900, Chester VA,Washington DC,2023-10-02
6269,1400,  2501 6 0 th St HAMPTON VA 23661,  1520 Kepner Dr LAFAYETTE IN 47905,2023-10-02
6296,2400,NORTHPORT DR SUITE 1000 ROANOKE TX,QUALITY WAY PRINCE GEORGE VA,2023-10-02
6280,850,"Chester, VA","Washington, DC",2023-10-02
6297,1950,"  High Point, NC","Houston, TX",2023-10-02
6298,800,"Spencer, NC","Prince George, VA",2023-10-02
6268,1350,"  Petersburg, VA","  Terre Haute, IN",2023-10-02
6294,750,"  BRWY - Anheuser Busch, 7795 Pocahontas Trail, Williamsburg, VA 23185","  WSLR-RH Barringer Dist Co Inc, 125 Seven Oaks Dr, Linwood, NC 27299",2023-10-02
6299,1900,IN,VA,2023-10-02
6300,1800,NC,TX,2023-10-02
6301,2000,"  2595 WEST STATE ROAD 28, Alexandria, IN 46001","  1133 Kingwood Avenue, Norfolk, VA 23502",2023-10-02
6302,1900,"  5252 Decatur Blvd, Indianapolis, IN 46241","  11900 N. Lakeridge Pkwy, Ashland, VA 23005",2023-10-02
6269,1300,VA,IN,2023-10-02
6280,850,Chester VA,Arlington VA,2023-10-05
6280,850,Chester VA,Arlington VA,2023-10-05
6303,400,705 BRADBURN PL STE 103 STAFFORD VA,"  2913 Transport Rd Richmond, VA US 23234",2023-10-05
6297,2112,PASADENA TX,JAMESTOWN NC,2023-10-05
6304,1600,"  8935 POCAHONTAS TRAIL, Williamsburg, VA 23185","  SHANNON, GA 30172",2023-10-10
6305,1450,"  Afh Logistics Services, 400 Industrial Dr, Birmingham, AL 35211","  DLA - W 1 43 DWY 17 - MREs, Hampton Blvd & Seabee Rd, 1986 Gilbert ST BLDG W 1 43, Norfolk, VA 23511",2023-10-10
6269,1300,"  Epes Transport Warehouse, 2501 60th St, HAMPTON VA 23661","  TA Services, 790 Commerce Pkwy W Dr, GREENWOOD IN 46143",2023-10-10
6306,1900,"  WestRock, 3101 State St, Columbus, IN 47201","  West Rock, 5710 S Laburnum Ave, Richmond, VA 23231",2023-10-10
6268,2200,"  Suffolk, VA","  Rosenberg, TX",2023-10-10
6307,1750,"  Baytown , TX, 77523","  Princeton, IN, 47670",2023-10-10
6308,2100,Evansville IN,Manassas VA,2023-10-10
6304,850,"    Fredericksburg, VA","Charlotte, NC",2023-10-10
6309,150,"  4464 VET MEMORIAL PKWY E LAFAYETTE, IN 47905","  27123 SHADY BROOK TRL COURTLAND, VA 23837-2034",2023-10-10
6310,850,"  210 Crypton Drive, Kings Mountain, NC 28086","  201 HALEY ROAD, ASHLAND, VA 23005",2023-10-10
6272,800,Dallas NC,Prince George VA,2023-10-10
6311,900,"Portsmouth, VA",Stony Point NC,2023-10-10
6312,850,Lexington NC,Suffolk VA,2023-10-10
6313,900,Virginia Beach VA,Charlotte NC,2023-10-10
6314,700,"  17200 WARWICK BLVD, NEWPORT NEWS VA 23603","   295 BUSINESS PARK DR, WINSTON SALEM NC 27107",2023-10-10
6280,850,"Chester, VA","Chantilly, VA",2023-10-10
6280,875,"Chester, VA","Alexandria, VA",2023-10-10
6280,875,"Chester, VA","Alexandria, VA",2023-10-10
6280,875,"Chester, VA","Alexandria, VA",2023-10-10
6280,500,"Chester, VA",Disputanta VA,2023-10-10
6280,875,"Chester, VA","Alexandria, VA",2023-10-10
6310,1900,LA PORTE TX,PHOENIX AZ,2023-10-14
6268,1800,"  Tolleson, AZ","    Houston, TX",2023-10-14
6315,2000,"515 N 49th Ave, Phoenix, AZ 85043","  15515 Woodham Dr, Houston, TX 77073",2023-10-14
6316,2300,"  KENSING LLC, 914 E RANDOLPH RD, HOPEWELL VA 23860","  FRUIT OF THE EARTH, 1430 AVE R, GRAND PRAIRIE TX 75050",2023-10-14
6317,2100,CELLSITE SOLUTIONS 346 E BELT LINE RD COPPELL TX 75019,TCW 500 ALEXANDER AVE HENDERSON NC 27536,2023-10-14
6268,2200,"  Effingham, IL","  Henderson, NC",2023-10-16
6273,2700,TX,VA,2023-10-16
6268,1350,"  Petersburg, VA","  Terre Haute, IN",2023-10-16
6318,2400,VA,TX,2023-10-16
6272,800,NC,VA,2023-10-16
6319,700,"  WORLD DISTRIBUTION SERVICES, 1537 AIR RAIL AVE, VIRGINIA BEACH, VA US 43455","  LT Apparel Group - Brown Summit, 5979 Summit Avenue, Browns Summit, NC US 27214",2023-10-16
6297,800,NC,VA,2023-10-16
6319,725,"  WORLD DISTRIBUTION SERVICES, 1537 AIR RAIL AVE, VIRGINIA BEACH, VA US 43455","  LT Apparel Group - Brown Summit, 5979 Summit Avenue, Browns Summit, NC US 27214",2023-10-16
6320,850,NC,VA,2023-10-16
6280,850,  Chester VA,Gaithersburg MD,2023-10-20
6280,500,Chester VA,Disputanta VA,2023-10-20
6280,850,Chester VA,Alexandria VA,2023-10-20
6280,800,Chester VA,Chesapeake VA,2023-10-20
6280,850,   Chester VA,Alexandria VA,2023-10-20
6280,850,Chester VA,Alexandria VA,2023-10-20
6280,850,Chester VA,Alexandria VA,2023-10-20
6271,950,"  HIGH PT, NC 27260",    NOTTINGHAM BA MD 21236,2023-10-20
6320,600,"  BALTIMORE, MD 21224","  HENRICO, VA 23231",2023-10-20
6321,2000,"  MASSIMO ZANETTI BEVERAGE USA, 1201 ENTERPRISE DR, SUFFOLK VA 23434","  PLANT CITY FL XDOCK, 2302 HENDERSON WAY, PLANT CITY FL. 335637904",2023-10-20
6273,900,  TAMPA FL 33637,N/A,2023-10-20
6271,1900,  DUNAVANT 10629 RED BLUFF RD,"  LIBERTY (PHOENIX, AZ) 4850 W. Jefferson St.",2023-10-20
6282,1400,"  Birdsong Nuts, 608 Main St, Colquitt, GA 39837","  Suffolk, VA 23434",2023-10-20
6301,1400,Williamsburg VA,Albany GA,2023-10-20
6312,1360,"  STANLEY BLACK & DECKER, CONCORD, NC 28027","  AMAZON ORF 2, CHESAPEAKE, VA 23320",2023-10-23
6321,1050,"  MACMILLAN PUBLISHERS, GORDONSVILLE VA 229428501","  CLT 2, CHARLOTTE NC 282148082",2023-10-23
6271,750,"  PREFORMED LINE PRODUCTS 1700 WOODHURST LN ALBEMARLE, NC 28001-5376","    Anixter 11400 Washington Hwy Docks 3-7 ASHLAND, VA 23005",2023-10-23
6272,850,Virginia Beach VA,Pineville NC,2023-10-23
6322,1000,"  484 Hicks Grove Road, MOORESBORO NC 28114","  11022 Lewis Town Rd, ASHLAND VA 23005",2023-10-23
6323,800,Williamsburg VA,Piedmont SC,2023-10-23
6279,2100,Greenfield Indiana,Chesapeake Virginia,2023-10-26
6279,2100,Add Detention for 31 hours,Check in 10/21 @ 6:30 PM,2023-10-21
6279,2100,,Empty 10/23 @ 2:00 AM,2023-10-23
6324,2000,"  7980 W. BUCKEYE RD. TOLLESON, AZ 85043","  10475 DEER TRAIL DRIVE HOUSTON, TX 77038",2023-10-26
6325,295,"  TOLLESON, AZ","  TOLLESON, AZ",2023-10-26
6324,1800,"  7980 W. BUCKEYE RD. TOLLESON, AZ 85043","  6855 BUSINESS PARK DRIVE HOUSTON, TX 77041",2023-10-26
6326,2000,"  359 Pike Court, Suite 500, La Porte, TX 77571","  6200 W. Duvall Mine Road, Green Valley, AZ 85622",2023-10-26
6326,1900,"  359 Pike Court, Suite 500, LA PORTE TX 77571","  6200 W. Duvall Mine Road, GREEN VALLEY AZ 85622",2023-10-26
6269,1400,  Epes Transport Warehouse HAMPTON VA 23661,  TRIGO-SCSI LAFAYETTE IN 49705,2023-10-26
6327,1400,"  6625 College Drive, Suffolk, VA US 23435","    460 Industrial Park Dr, Ferdinand, IN US 47532",2023-10-26
6328,1850,"  HOEHN PLASTICS INC, 11481 W 925 SOUTH, POSEYVILLE IN 47633","  CASCADES MOULDED PULP, 10026 OLD RIDGE RD, ASHLAND VA 23005",2023-10-26
6280,850, Chester VA,Alexandria VA,2023-10-26
6280,850,Chester VA,Alexandria VA,2023-10-26
6280,850,Chester VA,Alexandria VA,2023-10-26
6280,850,Chester VA,Alexandria VA,2023-10-26
6329,2700,"  Mitsubishi Logisnext Americas, 1810 Brittmore Road, HOUSTON, TX 77043","  Eaheart Industrial Service, In, 720 Industrial Avenue, BEDFORD, VA 24523",2023-10-26
6299,2200,Dill Ford 15 Dill Rd Suffolk VA 23434,Dollar Tree 1210 Hartledge Rd Rosenberg TX 77471,2023-10-26
6330,900,Gloucester VA,Sumter SC,2023-10-25
6279,500,Detention for 31 hours,Check in 10/21 @ 6:30 PM,2023-10-21
6279,500,,Empty 10/23 @ 2:00 AM,2023-10-23
6331,1000,"  3758 Kloeckner Rd, Gordonsville, VA 22942","  3240 US-15, Bishopville, SC 29010",2023-10-30
6269,1300,"  2501 60th St, HAMPTON VA 23661","    790 Commerce Pkwy W Dr, GREENWOOD IN 46143",2023-10-30
6332,1850,Indianapolis IN,Sutherland VA,2023-10-30
6269,1300,"  Epes Transport Warehouse, 2501 60th St, GREENWOOD IN 46143","  TA Services, 790 Commerce Pkwy W Dr, GREENWOOD IN 46143",2023-10-30
6297,800,Troutman NC,Hampton VA,2023-10-30
6298,900,Bennettsville SC,Sandston VA,2023-10-30
6280,850,Chester VA,Arlington VA,2023-11-05
6280,850,Chester VA,Alexandria VA,2023-11-05
6280,500,Chester VA,Disputanta VA,2023-11-05
6268,1800,"  Plainfield, IN","  Norfolk, VA",2023-11-05
6269,1300,  2501 60th St  HAMPTON VA,  790 Commerce Pkwy W Dr GREENWOOD IN,2023-11-05
6269,1300,  2501 60th St HAMPTON VA,  790 Commerce Pkwy W Dr GREENWOOD IN,2023-11-05
6333,2050,Plainfield IN,Chesapeake VA,2023-11-05
6280,895,Chester VA,Jessup MD,2023-11-05
6280,850,Chester VA,Alexandria VA,2023-11-05
6280,1,VOID,VOID,2023-11-06
6280,500, Chester VA,Disputanta VA,2023-11-06
6280,1000,Chester VA,Alexandria VA,2023-11-06
6280,850,Chester VA,Alexandria VA,2023-11-06
6280,800,"Chester, VA","Landover, MD",2023-11-06
6280,500,Chester VA,  Not provided in the text,2023-11-06
6280,850,"Chester, VA","Alexandria, VA",2023-11-06
6268,1200,Blacksburg NC,"  Mebane, NC",2023-11-10
6311,775,Charlotte NC,Chesterfield VA,2023-11-10
6334,900,"  Rutherfordton, NC 28139","    Disputanta, VA 23842",2023-11-10
6335,720,"  Chester, VA","  Charlotte, NC",2023-11-10
6272,825,"  201 Dexter St W, CHESAPEAKE VA 23324","  1201 EAST MOUNT OLIVE ROAD, COWPENS SC 29330",2023-11-10
6336,878,"  931 Dunluce Rd, KING WILLIAM VA 23086","  258 Snider Street, ELLOREE SC 29047",2023-11-10
6312,1328,Concord NC,Chesapeake VA,2023-11-10
6336,1900,"  2595 W. STATE ROAD 28, ALEXANDRIA IN 46001","  6500 Enterprise Dr #6500, DISPUTANTA VA 23842",2023-11-10
6269,1301,"  Epes Transport Warehouse, 2501 60th St, HAMPTON VA 23661","  TA Services, 790 Commerce Pkwy W Dr, GREENWOOD IN 46143",2023-11-10
6269,1300,"  Epes Transport Warehouse, 2501 60th St, GREENWOOD IN 46143","  TA Services, 790 Commerce Pkwy W Dr, GREENWOOD IN 46143",2023-11-10
6337,550,"  MARUCHAN VIRGINIA, 8101 WHITEPINE RD, Richmond, VA 23237","  FOOD LION DC 2 0, 6500 ENTERPRISE DRIVE, Disputanta, VA 23842",2023-11-10
6338,600,7795 POCAHONTAS TRAIL WILLIAMSBURG VA 23185 US,125 SEVEN OAKS DR LINWOOD NC 27299 US,2023-11-10
6273,1400,  1020 CENTERPOINT DR. SUFFOLK VA 23434,  8700 ROBERTS DR. #100 FISHERS IN 46037,2023-11-10
6335,1800,Indianapolis IN,Henrico VA,2023-11-10
6272,900,"  920 BLACK SATCHEL RD, CHARLOTTE NC 28216","  2000 Monticello Ave, NORFOLK VA 23517",2023-11-10
6311,825,Richmond VA,Spartanburg SC,2023-11-10
6339,3000,156 ND ST NORFOLK VA,6069 WALKER LN AFB FL,2023-11-11
6275,592, FLORENCE SC,PRINCE GEORGE VA,2023-11-11
6340,1250,Brewton AL,Florence SC,2023-11-11
6300,550,Jacksonville NC,Richmond VA,2023-11-11
6273,700,Williamsburg VA,Pollocksville NC,2023-11-11
6336,2045," 2595 W. STATE ROAD 28, ALEXANDRIA IN 46001"," 6500 Enterprise Dr #6500, DISPUTANTA VA 23842",2023-11-16
6272,1377," 2316 Steppingstone Square, CHESAPEAKE VA 23320"," 1021 N State Rd 47, CRAWFORDSVILLE IN 47933",2023-11-16
6327,1400," 6625 College Drive, Suffolk, VA US 23435"," 2130 Industrial Park Road, Ferdinand, IN US 47532",2023-11-16
6293,1820,Hopkinsville KY,Ashland VA,2023-11-16
6272,1000,Virginia Beach VA,Salisbury NC,2023-11-23
6272,1000,,,2023-11-23
6312,2500, 2626 INDIAN RIVER RD, 2000 NW US HIGHWAY 24,2023-11-23
6341,2000," Atkins Nutritionals, 6817 W 30 0 N, Greenfield, IN"," PORTSMOUTH BLVD, CHESAPEAKE, VA",2023-11-23
6342,2200, 30800 W 207th St EDGERTON KS 66021,WALMART 7016 10695 FREEDOM TRAIL GORDONSVILLE VA 22942,2023-11-23
6336,1895," 2595 W. STATE ROAD 28, ALEXANDRIA IN 46001"," 6500 Enterprise Dr #6500, DISPUTANTA VA 23842",2023-11-23
6344,1000, 34040 UNION CAMP DRIVE FRANKLIN VA 23851, 2495 Tremont Rd SAVANNAH GA 31405,2023-11-23
6297,600,"Summerville, SC","Rocky Point, NC",2023-11-23
6345,800," 2200 Mulberry Rd, Concord, NC US 28025"," 12015 North Lakeridge PKWY, Ashland, VA US 23005",2023-11-23
6346,800, Lexington NC,Williamsburg VA,2023-11-23
6347,750, INDEPENDENT BEV / FRM 816 LAWTON RD CHARLOTTE NC 28216, VIRGINIA BEACH BEVERAG 1400 AIR RAIL AVE. VIRGINIA BEACH VA 23455,2023-11-23
6348,700,NESTLE INTL PREMIUM WATERS 1537 AIR RAIL AVE VIRGINIA BEACH VA 23455,BOXED MEAT DAIRY WHS - GRB 5566 BURLINGTON ROAD MC LEANSVILLE NC 275301,2023-11-23
6324,1900," 7980 W. BUCKEYE RD. TOLLESON, AZ 85043"," 11325 CASH RD: STE 200 STAFFORD, TX 77477",2023-11-23
6349,1900," NCR - CEVA, 15370 B VICKERY DRIVE, HOUSTON TX 77032"," 1340 E JACKSON ST, PHOENIX AZ 85034",2023-11-23
6324,1800," 7980 W Buckeye Rd, Phoenix, AZ 85043"," 330 North Park Central Drive, Houston, TX 77073",2023-11-23
6276,2400," CUSTOM GOODS/BAYPORT SOUTH, 10591 RED BLUFF RD, PASADENA, TX - 77507-1073 USA"," SUN STREAMS 4 SOLAR FACILITY, 34322 W SALOME HWY, TONOPAH, AZ - 85354 USA",2023-11-23
6350,2800," Fort Worth, TX"," Miami, FL",2023-11-23
6351,650," 1625 Ashton park drive, Colonial Heights, VA 23834"," 290 East Mcintosh St, SANFORD, NC 27330",2023-11-23
6295,3300," 2280 Tanner Road, Rocky Mount, NC 27801"," 2701 W Rochelle, Dallas, TX 75261",2023-11-23
6352,900,"Rockledge, FL","Prince George, VA",2023-11-23
6269,1400,"Hampton, VA","Lafayette, IN",2023-11-23
6286,1900," Avery Dennison, 870 W. GREENFIELD, IN 198446, ANDERSON BLVD. 46140"," Fortis Solutions, 2505 Virginia Beach, VA",2023-11-23
6268,1730," Lebanon, IN"," Prince George, VA",2023-11-23
6269,1400,"Hampton, VA","Lafayette, IN",2023-11-23
6295,3300," 2280 Tanner Road, Rocky Mount, NC 27801"," 2701 W Rochelle, Dallas, TX 75261",2023-11-24
6297,2450,Garland TX,Virginia Beach VA,2023-11-24
6353,1950," 2595 WSTATE RD 28, ALEXANDRIA, IN 46001"," 6801 ALDI WAY, PETERSBURG, VA 23803",2023-12-02
6354,675,"Chester, VA","Alexandria, VA",2023-12-02
6273,1400, 1020 CENTERPOINT DR. SUFFOLK VA 23434, 8700 ROBERTS DR. #100 FISHERS IN 46037,2023-12-02
6355,1800," 5260 COMMERCE SQUARE DRIVE SUITE A, INDIANAPOLIS IN 46237"," 102 S WITCHDUCK RD, VIRGINIA BEACH VA 23452",2023-12-02
6269,1300, Hampton VA,Greenwood IN,2023-12-02
6356,1100,Colonial Heights VA,Buford GA,2023-12-02
6342,1100," 2800 SPROUSE DR, RICHMOND VA 23231"," 825 MAXHAM RD STE 400, LITHIASPRINGS GA 30122",2023-12-02
6357,1100," FAIRMOUNT, GA 30139"," RICHMOND, VA 23228",2023-12-02
6295,3300," 2280 Tanner Road, Rocky Mount, NC 27801"," 2701 W Rochelle, Dallas, TX 75261",2023-12-02
6272,2250," 2001 Midway Rd #200, LEWISVILLE TX 75056"," 112 The Vitamin Shoppe Way, ASHLAND VA 23005",2023-12-02
6269,1300," 2501 60th St, HAMPTON VA 23661"," 790 Commerce Pkwy W Dr, GREENWOOD IN 46143",2023-12-02
6336,2000," 300 HILTON DRIVE, JEFFERSONVILLE IN 47130"," 21500 COX RD, SUTHERLAND VA 23885",2023-12-02
6300,2100,Sumter SC,Dayton TX,2023-12-02
6273,2100," INEOS CALABRIAN, 5500 HWY 366, PORT NECHES TX 77651"," EASTERN MINERALS INC, US #1 BYPASS SOUTH, 170 Eastern Minerals Rd, HENDERSON NC 27536",2023-12-02
6358,1250,DALLAS NC," BLUE RIDGE INDUSTRIES - WINCHESTER, VA",2023-12-02
6307,750," 55410 WEAKLEY RD, PETERSBURG, VA, 23803"," 391 STANDING SPRINGS CT #4, SIMPSONVILLE, SC, 29680",2023-12-02
6356,1000," CLEARWATER PAPER CORPORATION - SHELBY DISTRIBUTION CENTER, 105 CUSTOMER FIRST DRIVE, SHELBY, NC US 28150"," LIDL US LLC-FREDERICKSBURG,VA, 6120 SMITH STATION RD, FREDERICKSBURG, VA US 22407",2023-12-02
6272,900,RPM GROUP CHESAPEAKE VA,AMP LOGISTICS SUFFOLK VA,2023-12-02
6273,1900," 200 0 S Jackson St, GREENCASTLE IN 46135"," 1595 MARY ST, SANDSTON VA 23150",2023-12-08
6298,750," LANXESS CORPORATION 3700 VILLAGE AVE NORFOLK, VA 23502"," PAVESTONE CHARLOTTE 1101 WESTINGHOUSE BLVD CHARLOTTE, NC 28273",2023-12-08
6304,1000," CET COLOR, 4450 Commerce Dr SW Frnt, Atlanta, GA 30336-1965",Virginia Abrasives 285 Service Rd Petersburg VA,2023-12-08
6285,650," Houston, TX 77054-3703",LEWISVILLE TX 75056,2023-12-08
6271,1075," New Realm 1209 Craft Ln, VIRGINIA BCH, VA 23454"," United Distributing - Smyrna 5500 United Drive, SMYRNA, GA 30082",2023-12-08
6325,1200,DULUTH GA,FREDERICKSBURG VA,2023-12-08
6359,1800," Katoen Natie, 10925 SH 225, La Porte, TX 77571"," IACNA MEXICO V S DE RL DE CV, 1590 W. CALLE PLATA UNIT A, NOGALES, AZ 85621",2023-12-08
6360,700," 4117 Pinnacle Point Drive, Dallas, TX 75211"," 250 CENTURY PLAZA DR, HOUSTON, TX 77073",2023-12-08
6361,750," Mercury Paper, 255 Fort Collier Rd, Winchester, VA 22603"," Charlotte, NC 282734704",2023-12-08
6311,700, RMR-RICHMOND 7400 IMPALA DR HENRICO VA, CTGROCKINGHAM 805 MIDWAY RD ROCKINGHAM NC,2023-12-08
6334,850," Wytheville, VA 24382"," Winchester, VA 22602",2023-12-08
6272,850, 920 BLACK SATCHEL RD CHARLOTTE NC 28216, 2000 Monticello Ave NORFOLK VA 23517,2023-12-08
6268,1800," Tolleson, AZ"," Houston, TX",2023-12-08
6269,1300, HAMPTON VA,GREENWOOD IN,2023-12-08
6269,1300, HAMPTON VA,GREENWOOD IN,2023-12-08
6362,1900, Clayton IN,Ashland VA,2023-12-08
6304,1200," Williamsburg, VA","Shannon, GA",2023-12-08
6268,500," Tolleson, AZ"," Mesa, AZ",2023-12-15
6325,600,Tucson AZ," LITCHFIELD PARK, AZ",2023-12-15
6279,1901,Columbus IN,Petersburg VA,2023-12-15
6269,1300, Hampton VA,Greenwood IN,2023-12-15
